BAIRRO;REG_ADM;N_;Lei_n_;area_km2
Rocas;Leste;09;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;0,660154266458000
Praia do Meio;Leste;11;LEI N  4328, DE 05 ABRIL DE 1993;0,489175242290000
Neópolis;Sul;34;LEI N  4328, DE 05 ABRIL DE 1993;3,187223908530000
Capim Macio;Sul;35;LEI N  4328, DE 05 ABRIL DE 1993;4,333659650590000
Nova Descoberta;Sul;26;LEI N  4328, DE  05 ABRIL DE 1993;1,588216839330000
Candelária;Sul;30;LEI N  4328, DE 05 ABRIL DE 1993;7,614340709470000
Barro Vermelho;Leste;19;LEI Nº 4327, DE 05 DE ABRIL DE 1993;0,947959348534000
Lagoa Seca;Leste;21;LEI Nº 4.327, DE 05 DE ABRIL DE 1991;0,610933320196000
Lagoa Nova;Sul;25;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;7,677428781050000
Petrópolis;Leste;13;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;0,784305177195000
Tirol;Leste;20;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;3,600441557380000
Areia Preta;Leste;14;LEI N  4328, DE 05 ABRIL DE 1993;0,308542811156000
Ponta Negra;Sul;36;LEI N  4328, DE 05 ABRIL DE 1993;13,820459220600000
Planalto;Oeste;32;LEI Nº 5.367, DE 27 DE MAIO DE 2002;4,638345096930000
Mãe Luiza;Leste;15;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;0,970311947175000
Pajuçara;Norte;02;LEI N  4328, DE 05 ABRIL DE 1993;7,661334434020000
Pitimbu;Sul;33;LEI N  4328, DE 05 ABRIL DE 1993;7,445943226970000
Nordeste;Oeste;18;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;2,984397717480000
Guarapes;Oeste;31;LEI N  4328, DE 05 ABRIL DE 1993;8,557206249049999
Cidade Alta;Leste;12;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;1,164150757930000
Ribeira;Leste;10;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;0,943912024311000
Santos Reis;Leste;08;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;2,220939689740000
Redinha;Norte;05;LEI N  4328, DE 05 ABRIL DE 1993;8,788811708150000
Quintas;Oeste;17;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;2,485395114640000
Alecrim;Leste;16;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;3,447287264820000
Dix-Sept Rosado;Oeste;22;LEI Nº 4.329, DE 05 DE ABRIL DE 1993;1,096367186910000
Cidade Nova;Oeste;29;LEI N  4328, DE 05 ABRIL DE 1993;2,621187362450000
Cidade da Esperança;Oeste;28;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;1,828743980040000
Felipe Camarão;Oeste;27;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;6,646406260150000
Bom Pastor;Oeste;23;LEI N  4328, DE 05 ABRIL DE 1993;3,460936380880000
Igapó;Norte;06;LEI N  4328, DE 05 ABRIL DE 1993;2,201662184500000
Salinas;Norte;07;LEI N  4328, DE 05 ABRIL DE 1993;10,312767635500000
N.S. da Apresentaç;Norte;04;LEI N  4328, DE 05 ABRIL DE 1993;10,247980802900001
Lagoa Azul;Norte;01;LEI N  4328, DE 05 ABRIL DE 1993;11,674715680200000
Potengi;Norte;03;LEI Nº 4.330, DE 05 DE ABRIL DE 1993;7,998738688760000
N.S. do Nazaré;Oeste;24;LEI Nº 4.329, DE 05 DE ABRIL DE 1993;1,440068791000000
