sp_nome;sp_id;sp_codigo;sp_areakmt;sp_sigla;sp_areamt
PIRITUBA-JARAGUA;1,000000000000000;02;55,000000000000000;PJ;55435886,000000000000000
FREGUESIA-BRASILANDIA;2,000000000000000;03;32,000000000000000;FO;32004787,000000000000000
CASA VERDE-CACHOEIRINHA;3,000000000000000;04;27,000000000000000;CV;27205098,000000000000000
VILA MARIA-VILA GUILHERME;6,000000000000000;07;27,000000000000000;MG;26899601,000000000000000
PENHA;7,000000000000000;21;43,000000000000000;PE;43358124,000000000000000
ERMELINO MATARAZZO;8,000000000000000;22;16,000000000000000;EM;15985519,000000000000000
ITAIM PAULISTA;10,000000000000000;24;22,000000000000000;IT;21608377,000000000000000
GUAIANASES;12,000000000000000;28;18,000000000000000;GU;17755785,000000000000000
LAPA;13,000000000000000;08;41,000000000000000;LA;40622109,000000000000000
SE;14,000000000000000;09;27,000000000000000;SE;26665465,000000000000000
MOOCA;15,000000000000000;25;36,000000000000000;MO;36046911,000000000000000
ARICANDUVA-FORMOSA-CARRAO;16,000000000000000;26;22,000000000000000;AF;22335709,000000000000000
SAO MATEUS;17,000000000000000;30;45,000000000000000;SM;45485934,000000000000000
VILA PRUDENTE;18,000000000000000;29;19,000000000000000;VP;19260939,000000000000000
BUTANTA;21,000000000000000;10;56,000000000000000;BT;56408951,000000000000000
PINHEIROS;22,000000000000000;11;32,000000000000000;PI;31993530,000000000000000
CAMPO LIMPO;23,000000000000000;17;37,000000000000000;CL;36671816,000000000000000
M BOI MIRIM;24,000000000000000;18;63,000000000000000;MB;63459772,000000000000000
CAPELA DO SOCORRO;25,000000000000000;19;133,000000000000000;CS;132637471,000000000000000
PARELHEIROS;27,000000000000000;20;361,000000000000000;PA;360809940,000000000000000
CIDADE TIRADENTES;30,000000000000000;31;15,000000000000000;CT;14951898,000000000000000
PERUS;31,000000000000000;01;57,000000000000000;PR;57208906,000000000000000
SAPOPEMBA;32,000000000000000;32;14,000000000000000;SB;13631256,000000000000000
IPIRANGA;19,000000000000000;13;38,000000000000000;IP;37598848,000000000000000
VILA MARIANA;20,000000000000000;12;27,000000000000000;VM;26984413,000000000000000
CIDADE ADEMAR;26,000000000000000;16;31,000000000000000;AD;30671069,000000000000000
JACANA-TREMEMBE;5,000000000000000;06;65,000000000000000;JT;64977416,000000000000000
SANTANA-TUCURUVI;4,000000000000000;05;36,000000000000000;ST;35780573,000000000000000
SANTO AMARO;29,000000000000000;14;38,000000000000000;SA;37761516,000000000000000
JABAQUARA;28,000000000000000;15;14,000000000000000;JA;14009429,000000000000000
SAO MIGUEL;9,000000000000000;23;26,000000000000000;MP;26054019,000000000000000
ITAQUERA;11,000000000000000;27;55,000000000000000;IQ;55103467,000000000000000
